residence	sex	username	user_id	address	birthdate	race	job	name	current_location	mail
	F	vigorellimatilda	295	"Borgo Gelsomina, 3 Piano 9
12013, Chiusa Di Pesio (CN)"	1917-03-25			Gemma Baracca		cesarecagnotto@tim.it
山口県立川市北上野40丁目24番4号 上野公園コーポ077	M	matsumotoasuka	298	三重県西東京市上広谷3丁目27番1号			演歌歌手	近藤 翼	(Decimal('44.4329015'), Decimal('-94.188145'))	nakajimaatsushi@yahoo.com
"68187 Matthews Turnpike Suite 738
Whitebury, MI 12752"	F	debra19	591	"63067 Jeffrey Village
East Jeffrey, TX 08868"	1985-05-21	white	Tourism officer	Belinda Harvey	(Decimal('17.674891'), Decimal('43.063751'))	kevindeleon@yahoo.com
"Canale Majorana, 522
98168, Villaggio Annunziata (ME)"		udineseimelda	2538		2012-01-02	asian		Sig.ra Susanna Roero	(Decimal('-65.4578585'), Decimal('-162.734373'))	federicacaccioppoli@tele2.it
		debra72	590	"USCGC Kim
FPO AA 25581"		white		Deborah Larson	(Decimal('-67.907028'), Decimal('-104.061594'))	stevendavis@yahoo.com
		imicheletti	1503	"Vicolo Bianca, 87 Piano 3
83041, Aquilonia (AV)"	1921-02-17			Ignazio Agazzi	(Decimal('38.859809'), Decimal('23.809353'))	scarponiangelo@vodafone.it
	F	almeidacatarina	212	"Pátio Azevedo, 93
Marieta 1ª Seção
22572366 Carvalho / AC"		black	Economista	Dra. Nicole Fogaça	(Decimal('58.350313'), Decimal('80.268993'))	claramoraes@hotmail.com
	F	ricardo44	1848	"Justus-Gerlach-Allee 3
70623 Darmstadt"	2022-01-06			Manja Reising MBA.	(Decimal('82.223402'), Decimal('176.097604'))	gschaefer@yahoo.de
		takahashiyoichi	929	富山県香取郡東庄町下宇和田10丁目5番12号		white	音楽家	佐々木 京助	(Decimal('12.3856645'), Decimal('70.294178'))	junito@gmail.com
		tbartos	971	"Na Kuthence 70
484 78 Dolní Poustevna"				Kamil Šťastný	(Decimal('-64.208787'), Decimal('176.053955'))	wmarkova@post.cz
	F	ablaha	2221	"Pirinská 587
705 54 Zbiroh"	2005-09-15			Martina Poláková	(Decimal('-3.977339'), Decimal('144.219315'))	asvobodova@seznam.cz
	F	livia07	502	"Setor de Monteiro, 74
Floresta
01677643 Lopes / RN"				Laura Ramos	(Decimal('-39.473308'), Decimal('53.492206'))	vitor-hugo98@uol.com.br
		rusticucciallegra	2505	"Incrocio Ricolfi, 837
22100, Camerlata (CO)"				Elmo Gravina	(Decimal('-71.296976'), Decimal('49.048971'))	nugnesoreste@tin.it
		slavicaroehricht	724					Manja Birnbaum		magarete86@web.de
	F	horakoldrich	371	"U Balabenky 313
747 46 Strážov"	1930-12-14		Police officer	Simona Bartošová	(Decimal('-65.1043045'), Decimal('37.620269'))	zvanek@centrum.cz
		dolezalfilip	2525	"Klímova 16
155 66 Milovice"				Magdaléna Pokorná	(Decimal('22.1103035'), Decimal('24.462856'))	vpospisil@gmail.com
	M	mikako35	961	福島県墨田区西関宿26丁目7番19号 土呂部パレス995	1927-12-19	asian	裁判官	後藤 充		kondoatsushi@gmail.com
		junkenpeter-michael	1868	"Miroslaw-Eberth-Weg 234
01760 Kötzting"	1966-07-24		Augenoptiker	Herr Stefan Wieloch B.Eng.	(Decimal('20.661071'), Decimal('-80.216693'))	steinbergignaz@aol.de
		ottoalfons	2503	"Fredo-Hartung-Straße 210
62625 Rothenburg ob der Tauber"	1912-10-20	white		Dipl.-Ing. Birgid Schmiedecke	(Decimal('-9.084587'), Decimal('-125.663865'))	wdussen-van@aol.de
		linda40	2202	"5118 Caldwell Village Suite 384
South John, KY 44621"		asian	Restaurant manager, fast food	Ronald Hill	(Decimal('55.6456935'), Decimal('117.876303'))	garymarks@yahoo.com
"Domenico-Schönland-Weg 6
39449 Bad Kreuznach"		kathrin01	1747	"Hans-Bernd-Gumprich-Gasse 985
28509 Gadebusch"	1951-07-02			Dr. Jörg-Peter Albers MBA.	(Decimal('-7.215192'), Decimal('130.444402'))	rtrapp@yahoo.de
"Incrocio Scalera, 59
28803, Cuzzago (VB)"		collettifiamma	1794		1994-08-22			Tina Ferragamo-Casarin	(Decimal('39.355208'), Decimal('-55.153254'))	flora78@hotmail.it
	F	markovadominika	1318		1923-11-20			Zdenka Dvořáková		hkolar@volny.cz
		joseph20	1130	"Steffen-Mälzer-Platz 6/9
29965 Marienberg"			Programmierer	Frank-Peter Junitz	(Decimal('52.1120805'), Decimal('61.021530'))	hthanel@gmail.com
	F	cernymatej	324	"Vítězná 99
573 52 Loket"			Agricultural engineer	Alžběta Pokorná	(Decimal('-23.0953115'), Decimal('-178.261096'))	krizovagabriela@post.cz
岐阜県豊島区浅草橋1丁目3番2号	M	csato	585	福島県四街道市一ツ橋2丁目26番8号 土呂部パレス439	1968-02-28		ゲームクリエイター	三浦 裕樹	(Decimal('-18.0143455'), Decimal('-103.861295'))	okadahanako@yahoo.com
		obottigliero	365	"Piazza Orlando, 9
10052, Borgonovo Bardonecchia (TO)"		unspecified	Operations geologist	Loredana Camanni-Ginesio	(Decimal('-3.5700005'), Decimal('166.622589'))	missoniromeo@libero.it
		averyjames	1706	"966 Hayes Causeway Apt. 340
Delgadostad, NY 50233"				Denise Holt	(Decimal('62.8226905'), Decimal('-106.028551'))	greergeorge@hotmail.com
	F	yasuhirofukuda	906	東京都羽村市上高野25丁目9番16号 中川崎コート390	1979-10-07			山本 千代	(Decimal('0.934049'), Decimal('177.252934'))	chayashi@gmail.com
青森県西多摩郡奥多摩町橋場19丁目8番15号 西浅草パレス697		rsuzuki	2490		1962-11-27	asian		佐藤 零	(Decimal('81.069631'), Decimal('27.258990'))	rika73@gmail.com
		susan20	452	"27969 Porter Skyway Apt. 614
Lake Sarah, MP 82551"	1930-09-22		Proofreader	Thomas Savage		kmorgan@gmail.com
"Unit 8303 Box 9268
DPO AP 45952"		dwang	753	"08976 Daniel Isle
Virginiaside, OR 24967"	1995-04-06	unspecified		Colleen Johnson	(Decimal('88.3196505'), Decimal('-52.340967'))	kimberly80@gmail.com
	M	gabriellatarantino	1172	"Strada Beatrice, 77 Piano 3
86020, Spinete (CB)"	2006-09-11			Dott. Roman Morabito	(Decimal('-19.237376'), Decimal('109.120919'))	antoninopratesi@yahoo.com
	F	aennebecker	1411	"Harloffring 7
65332 Lübben"	2012-07-12			Gerlind Löffler	(Decimal('28.290253'), Decimal('-42.279776'))	bbolnbach@gmx.de
		rrihova	819	"Rýmařovská 5
677 90 Jistebnice"			Advertising art director	Patrik Novák	(Decimal('44.809369'), Decimal('46.583242'))	ondrejsedlacek@gmail.com
	M	jopichklaus-juergen	822	"Adolphgasse 4
26442 Zschopau"	1908-08-09		Binnenschiffer	Aleksander Rohleder	(Decimal('69.263957'), Decimal('86.659916'))	trubinsusi@gmail.com
"Núcleo Peixoto, 91
Alta Tensão 1ª Seção
93936-968 Duarte / CE"	F	jpeixoto	706	"Estrada de Cardoso, 48
Ipiranga
90652-163 Viana da Serra / RN"	1944-06-22			Maitê Araújo		sabrina82@yahoo.com.br
	F	hans-dieter36	1200	"Igor-Knappe-Platz 6
91013 Recklinghausen"	1921-08-24			Isabelle Löffler	(Decimal('73.3299795'), Decimal('69.181868'))	enver46@googlemail.com
	F	fjesus	7	"Passarela de Araújo, 513
Paulo Vi
16472113 Vieira / RO"		unspecified		Helena da Paz	(Decimal('50.1954275'), Decimal('-2.152941'))	ana-julia63@bol.com.br
"Hendriksstr. 815
18695 Bützow"		holzapfeljoern	1342	"Wenzel-Heidrich-Platz 197
01800 Eutin"				Ing. Elvira Henk B.Eng.	(Decimal('-79.7418035'), Decimal('8.393882'))	henri43@aol.de
		radkabenesova	2039		1928-11-15		Journalist, broadcasting	Vít Šťastný	(Decimal('-45.130139'), Decimal('95.495900'))	milanvanek@volny.cz
	F	cianiangelica	2495	"Stretto Sabatino, 33 Appartamento 81
00128, Castel Di Decima (RM)"		unspecified		Livia Panzera	(Decimal('83.874331'), Decimal('-176.777222'))	ramona67@live.com
	F	xantonini	110	"Canale Tullio, 63
23027, Somaggia (SO)"	1965-10-23			Daria Cheda	(Decimal('56.602870'), Decimal('17.716627'))	adelmoonisto@tiscali.it
		zblahova	930					Miluše Vacková	(Decimal('68.411501'), Decimal('-54.938959'))	rudolfvanek@email.cz
		myamamoto	905	山口県三宅島三宅村東和町3丁目24番6号		unspecified	調理師	中村 洋介	(Decimal('-77.719124'), Decimal('-167.524000'))	umiura@yahoo.com
